reimage_time,genetics,cut_type,average,stdev,n,age
12 hours,wt,axon,14.86847619,14.45789384,21,L3
24 hours,wt,axon,49.51941667,17.72293949,12,L3
12 hours,wt,a+d,43.27615385,16.79419941,13,L3
24 hours,wt,a+d,69.94973333,18.66894086,15,L3
24h-L3/L4,wt,a+d,46.44285714,10.15100277,7,L3
12 hours,dlk-1,a+d,0.265533333,1.028406178,15,L3
24 hours,dlk-1,a+d,9.817125,11.79880183,16,L3
12 hours,wt,axon,9.667875,12.36380498,8,YA
24 hours,wt,axon,27.66466667,21.85200037,12,YA
12 hours,wt,a+d,,,0,YA
24 hours,wt,a+d,72.94427273,11.98404845,11,YA
12 hours,dlk-1,a+d,2.709333333,4.692702988,3,YA
24 hours,dlk-1,a+d,6.076454545,5.567115364,11,YA
