﻿date,index,side,length,regen_type,age,re_image_time,cut_type,genetics,re_image_time_class,col_name,none,not_to_ring,to_ring,along_ring,full_length
7/27/15,1b,L,14.205,3,L2,12hr,axon,wild-type,12hr,wt axon,0.19047619,0.285714286,0.19047619,0.238095238,0.095238095
7/27/15,1c,L,4.508,1,L2,12hr,axon,wild-type,12hr,wt a+d,0,0,0.076923077,0.461538462,0.461538462
7/27/15,1f,L,17.799,2,L2,12hr,axon,wild-type,12hr,dlk-1 a+d,0.933333333,0.066666667,0,0,0
7/27/15,1g,R,16.506,2,L2,12hr,axon,wild-type,24hr,wt axon,0,0,0.083333333,0.666666667,0.25
7/27/15,1h,R,21.462,3,L2,12hr,axon,wild-type,24hr,wt a+d,0,0,0,0,1
7/27/15,1i,R,31.592,2,L2,12hr,axon,wild-type,24hr,dlk-1 a+d,0.375,0.3125,0.125,0.125,0.0625
7/27/15,1j,R,39.717,4,L2,12hr,axon,wild-type,24hr_YA,wt axon,0,0.5,0.166666667,0.333333333,0
8/3/15,1a,L,0,0,L2,12hr,axon,wild-type,24hr_YA,wt a+d,0,0,0,0.727272727,0.272727273
8/3/15,1b,L,26.082,3,L2,12hr,axon,wild-type,24hr_YA,dlk-1 a+d,0.272727273,0.727272727,0,0,0
8/3/15,1c,L,0,0,L2,12hr,axon,wild-type,,,,,,,
8/3/15,1d,L,1.287,1,L2,12hr,axon,wild-type,,,,,,,
8/3/15,1e,L,29.779,4,L2,12hr,axon,wild-type,,,,,,,
8/3/15,1f,L,31.757,3,L2,12hr,axon,wild-type,,,,,,,
8/3/15,1h,R,2.145,1,L2,12hr,axon,wild-type,,,,,,,
8/3/15,1i,R,0,0,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1a,L,45.975,3,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1b,L,14.099,1,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1c,R,3.746,2,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1d,R,5.42,1,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1e,R,6.159,1,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1f,R,0,0,L2,12hr,axon,wild-type,,,,,,,
7/28/15,1a,L,50.279,3,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1b,L,27.667,3,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1c,L,,,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1d,L,41.825,3,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1f,L,,,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1g,R,61.02,3,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1h,R,62.476,3,L2,24hr,axon,wild-type,,,,,,,
7/28/15,1i,R,34.967,3,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1a,L,52.987,3,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1c,L,,,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1d,R,76.769,3,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1e,R,43.269,4,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1f,R,18.237,2,L2,24hr,axon,wild-type,,,,,,,
7/31/15,1g,R,74.687,4,L2,24hr,axon,wild-type,,,,,,,
7/31/15,2e,R,50.05,4,L2,24hr,axon,wild-type,,,,,,,
8/3/15,2a,L,12.617,2,L2,12hr,a+d,wild-type,,,,,,,
8/3/15,2b,L,21.196,3,L2,12hr,a+d,wild-type,,,,,,,
8/3/15,2i,L,32.209,3,L2,12hr,a+d,wild-type,,,,,,,
8/3/15,2j,R,50.769,4,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,1a,L,56.04,4,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,1b,L,44.686,4,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,1c,L,41.225,3,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,1d,R,24.587,3,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2a,L,,,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2b,L,63.824,3,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2d,L,37.356,4,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2e,L,57.383,3,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2g,R,63.572,4,L2,12hr,a+d,wild-type,,,,,,,
8/5/15,2h,R,57.126,4,L2,12hr,a+d,wild-type,,,,,,,
7/31/15,2a,L,53.774,4,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2c,L,73.561,4,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2d,L,66.263,4,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2f,L,,,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2g,R,,,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2h,R,86.914,4,L2,24hr,a+d,wild-type,,,,,,,
7/31/15,2i,R,,,L2,24hr,a+d,wild-type,,,,,,,
8/4/15,1b,L,55.014,4,L2,24hr,a+d,wild-type,,,,,,,
8/4/15,1c,L,,,L2,24hr,a+d,wild-type,,,,,,,
8/4/15,1f,L,64.064,4,L2,24hr,a+d,wild-type,,,,,,,
