re_image_time,col_name,none,not to ring,to ring,along ring,full length,,,,,,,,,,,
12hr,wt axon,0.19047619,0.285714286,0.19047619,0.238095238,0.095238095,,,,,,,,,,,
24hr,wt axon,0,0,0.083333333,0.666666667,0.25,,,,,,,,,,,
12hr,wt a+d,0,0,0.076923077,0.461538462,0.461538462,,,,,,,,,,,
24hr,wt a+d,0,0,0,0,1,,,,,,,,,,,
12hr,dlk-1 a+d,0.933333333,0.066666667,0,0,0,,,,,,,,,,,
24hr,dlk-1 a+d,0.375,0.3125,0.125,0.125,0.0625,,,,,,,,,,,
24hr,wt axon,0,0.5,0.166666667,0.333333333,0,,,,,,,,,,,
24hr,wt a+d,0,0,0,0.727272727,0.272727273,,,,,,,,,,,
24hr,dlk-1 a+d,0.272727273,0.727272727,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
